app_id,applicant_name,designation,applicant_type,mobile,email,purpose,referred_by,remarks,guest_details,from_date,to_date,rooms_required,messing_required,billing_person,signature,status,submitted_date,approved_by,approved_date,check_in_date,check_out_date,room_status,allocated_room,rejection_reason,guest_count
45,aniket kumar,INTERN,Others - INTERNSHIP,6203903078,aniket23@gmail.com,intership,,,"[{""name"": ""aniket kumar"", ""age_sex"": ""23M"", ""nationality"": ""IND"", ""aadhaar"": ""6555156551"", ""contact"": ""6203903078""}]",01-05-2026,01-09-2026,1,No,self,aniket ,Approved,2026-03-25 08:57:53,admin,2026-04-12 15:29:39,2026-04-13 12:04:00,,Occupied,,,1
42,Dr Aaryan kumar ,Engineer,Serving DRDO,6203903078,aaryan56@gmail.com,work visit,yogeshwar sir,urgent,"[{""name"": ""Aaryan "", ""age_sex"": ""22 M"", ""nationality"": ""IND"", ""aadhaar"": ""414848844888"", ""contact"": ""8481256525""}]",01-06-2026,15-06-2026,1,Yes,self,AAryasn,Approved,2026-03-25 07:14:04,admin,2026-04-15 02:14:10,2026-04-20 11:06:29,,Occupied,,,1
41,Prince kumar,STUDENT,Others - INTERNSHIP,998546465,prince23@gmail.com,intership,yogeshwar sir,urgent,"[{""name"": ""prince kumar"", ""age_sex"": ""24 M"", ""nationality"": ""IND"", ""aadhaar"": ""5151515115415"", ""contact"": ""998546465""}]",01-06-2026,01-09-2026,1,Yes,prince,prince,Pending,2026-03-25 06:55:10,,,,,Booked,,,1
40,DR Sonali singh,Scientist,Retired DRDO,620955345,sonali33@gmail.com,project review,	Maj. General Singh,urgent,"[{""name"": ""sonali singh"", ""age_sex"": ""67 F"", ""nationality"": ""IND"", ""aadhaar"": ""5555415455414"", ""contact"": ""6209211055""}, {""name"": ""shivani singh"", ""age_sex"": ""55F"", ""nationality"": ""IND"", ""aadhaar"": ""5656465266566"", ""contact"": ""6209305665""}]",01-07-2026,05-08-2026,1,No,self,sonali,Pending,2026-03-25 06:51:53,,,,,Booked,,,2
39,Mr subham kumar ,	Commandant,Serving (Trl Services),8730956365,subham544@gmail.com,project review,Dr. Verma,urgent,"[{""name"": ""subham kumar "", ""age_sex"": ""24 M"", ""nationality"": ""IND"", ""aadhaar"": ""485485466555"", ""contact"": ""884565656""}]",01-07-2026,01-09-2026,1,Yes,self,subham,Pending,2026-03-25 06:49:20,,,,,Booked,,,1
38,Dr sahil singh,Scientist,Other Govt Emp.,620921515,sahil965@gmail.com,seminar,,,"[{""name"": ""sahil kumar"", ""age_sex"": ""24 M"", ""nationality"": ""IND"", ""aadhaar"": ""48654646464"", ""contact"": ""6209055255""}]",05-06-2026,05-08-2026,1,Yes,self,sahil,Approved,2026-03-25 06:47:17,admin,2026-04-20 10:50:09,,,Booked,,,1
37,SHREYA SINGH,STUDENT,Others - STUDENT AT DIAT,666382782,SHREYA23@GMAIL.COM,intern,	Maj. General Singh,	Urgent,"[{""name"": ""shreya singh"", ""age_sex"": ""22 F"", ""nationality"": ""IND"", ""aadhaar"": ""838839277"", ""contact"": ""8739287838""}]",12-06-2026,22-08-2026,1,No,self,shreya,Rejected,2026-03-24 09:17:15,admin,2026-04-08 11:17:02,,,Booked,,,1
36,dr bulbul verma,Engineer,Others - INTERNSHIP,9876543213,bulbul23@gmail.com,internship,	Maj. General Singh,	Urgent,"[{""name"": ""bulbul"", ""age_sex"": ""22 F"", ""nationality"": ""IND"", ""aadhaar"": ""2223343344"", ""contact"": ""63763767673""}, {""name"": ""susum"", ""age_sex"": ""25 F"", ""nationality"": ""IND"", ""aadhaar"": ""28u82u28828"", ""contact"": ""32313233444""}]",12-06-2026,01-09-2026,2,Yes,self,BULBUL,Approved,2026-03-24 09:14:11,admin,2026-03-25 07:20:19,2026-04-12 15:30:46,2026-04-20 05:26:07,Vacant,,,2
35,dr suhani sharma,Scientist,Other Govt Emp.,873095738,suhani23@gmail.com,seminar,	Maj. General Singh,urgent,"[{""name"": ""suhani sharma"", ""age_sex"": ""23 F"", ""nationality"": ""IND"", ""aadhaar"": ""82883872887"", ""contact"": ""8739287838""}, {""name"": ""shabby sharma"", ""age_sex"": ""24F"", ""nationality"": ""IND"", ""aadhaar"": ""7277777766"", ""contact"": ""9198478299""}]",09-07-2026,03-09-2026,2,Yes,self,SUHANI,Approved,2026-03-24 09:11:13,admin,2026-03-25 07:19:38,,,Booked,,,2
34,DR Shaurya singh,Scientist,Serving DRDO,979838882,shaurya77@gmail.com,work visit,	Maj. General Singh,urgent,"[{""name"": ""shaurya"", ""age_sex"": ""43 M"", ""nationality"": ""IND"", ""aadhaar"": ""7627672667"", ""contact"": ""8739287838""}, {""name"": ""mahender"", ""age_sex"": ""41 M"", ""nationality"": ""IND"", ""aadhaar"": ""7277777766"", ""contact"": ""9198478299""}]",05-07-2026,05-08-2026,1,Yes,self,shaurya,Approved,2026-03-24 08:34:18,admin,2026-03-25 07:19:34,2026-04-27 10:42:17,,Occupied,,,2
33,SANDHYA SUKHLA,INTERN,Others - INTERNSHIP,6203902076,SANDHYA23@gmail.com,intership,yogeshwar sir,urgent,"[{""name"": ""sandhya "", ""age_sex"": ""22 F"", ""nationality"": ""IND"", ""aadhaar"": ""87287827882"", ""contact"": ""703340327""}, {""name"": ""suman"", ""age_sex"": ""25 F"", ""nationality"": ""IND"", ""aadhaar"": ""28u82u28828"", ""contact"": ""768827873""}]",05-06-2026,05-06-2027,1,Yes,self,sandhya,Rejected,2026-03-24 08:31:35,admin,2026-03-25 07:19:24,,,Booked,,,2
32,	Mr. Alok Srivastava,Consultant,Others - Consultant,	9876547777,alok.srivastava@industry.com,Industry Collaboration,Dr. Verma,First time visitor,"[{""name"": ""Mr. Alok Srivastava"", ""age_sex"": ""44 M"", ""nationality"": ""IND"", ""aadhaar"": ""\t9012-3456-7890"", ""contact"": ""7477738764""}]",05-06-2026,10-06-2026 ,1,No,self,ALOK,Approved,2026-03-24 08:27:40,admin,2026-03-25 07:19:28,,,Booked,,,1
28,prof soniya sharma,,Serving DRDO,74747737777,soniya23@gmail.com,project review,,,"[{""name"": ""soniya"", ""age_sex"": ""22"", ""nationality"": ""ind"", ""aadhaar"": ""233434222"", ""contact"": ""788472888""}, {""name"": ""surya"", ""age_sex"": ""34"", ""nationality"": ""ind"", ""aadhaar"": ""2423rr44444"", ""contact"": ""87837899789""}]",12-05-2026,01-09-2026,2,No,self,soniya,Approved,2026-03-23 10:14:04,admin,2026-03-25 07:19:03,2026-04-12 15:29:53,,Occupied,,,2
7,dr sudanshu singh,,Retired DRDO,8730956463,mail2sudanshu@gmail.com,work visit,,urgent,"[{""name"": ""sudanshu singh"", ""age_sex"": ""34"", ""nationality"": ""ind"", ""aadhaar"": ""2324334552"", ""contact"": ""8730956463""}]",02-05-2026,05-07-2026,1,No,self,sudanshu,Approved,2026-03-23 08:16:16,admin,2026-03-25 07:19:08,,,Booked,,,1
6,Prof. Sunita Desai,,Other Govt Emp.,9876543217,sunita@gov.in,project review,yogeshwar sir,urgent,"[{""name"": ""Prof. Sunita Desai"", ""age_sex"": ""23"", ""nationality"": ""ind"", ""aadhaar"": ""7y6388y38y74"", ""contact"": ""9876543217""}, {""name"": ""Prof. Susant Desai"", ""age_sex"": ""25"", ""nationality"": ""ind"", ""aadhaar"": ""7627676376277"", ""contact"": ""6203902002""}]",01-03-2026,01-05-2026,1,No,self,sunita,Approved,2026-03-23 08:06:24,admin,2026-03-25 07:18:59,,,Booked,,,2
5,Dr. Vikram Rathore,,Serving DRDO,9876543216,vikram@drdo.in,project review,yogeshwar sir,urgent,"[{""name"": ""Dr. Vikram Rathore"", ""age_sex"": ""34"", ""nationality"": ""ind"", ""aadhaar"": ""267t7377288"", ""contact"": ""9876543216""}]",01-05-2026,01-07-2026,1,No,self,Dr. Vikram Rathore,Approved,2026-03-23 07:51:01,admin,2026-03-23 07:55:04,,,Booked,,,1
1,Dr. Rajesh Kumar,,Serving DRDO,9876543210,rajesh@drdo.in,Research Meeting,Dr. Sharma,Urgent,"[{""name"": ""Dr. Rajesh Kumar"", ""age_sex"": ""45/M"", ""nationality"": ""Indian"", ""aadhaar"": ""1234-5678-9012"", ""contact"": ""9876543210""}]",15-03-2026 10:00,18-03-2026 18:00,1,No,Self,Dr. Rajesh Kumar,Approved,2026-03-18 06:02:40,admin,2026-03-18 08:25:51,,,Booked,,,1
2,Prof. Suresh Verma,,Retired DRDO,9876543211,suresh@email.com,Conference,Dr. Patil,Guest lecture,"[{""name"": ""Prof. Suresh Verma"", ""age_sex"": ""55/M"", ""nationality"": ""Indian"", ""aadhaar"": ""2345-6789-0123"", ""contact"": ""9876543211""}, {""name"": ""Mrs. Anjali Verma"", ""age_sex"": ""50/F"", ""nationality"": ""Indian"", ""aadhaar"": ""3456-7890-1234"", ""contact"": ""9876543212""}]",20-03-2026 09:00,22-03-2026 17:00,2,Yes,Organization,Prof. Suresh Verma,Approved,2026-03-18 06:02:40,,,,,Booked,,,2
